Indicator Name,Indicator Code,ZAF,GHA,COD,KEN,ZWE,NGA,total
"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,22,7,3,5,4,2,43
Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,22,7,3,5,4,2,43
Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,22,7,3,5,4,2,43
"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,22,7,3,5,4,2,43
Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,22,7,3,5,4,2,43
"Labor force with advanced education, male (% of male working-age population with advanced education)",SL.TLF.ADVN.MA.ZS,22,7,3,5,4,2,43
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",SL.TLF.INTM.FE.ZS,22,7,3,5,4,2,43
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS,22,7,3,5,4,2,43
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,22,7,3,5,4,2,43
"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,22,7,3,5,4,2,43
"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS,22,7,3,5,4,2,43
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,22,7,3,5,4,2,43
"Labor force with basic education, male (% of male working-age population with basic education)",SL.TLF.BASC.MA.ZS,22,7,3,5,4,2,43
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,22,7,2,5,4,2,42
"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,7,7,7,7,7,7,42
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,7,7,7,7,7,7,42
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,7,7,7,7,7,7,42
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,7,7,7,7,7,7,42
"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,22,6,3,5,4,2,42
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,7,7,7,7,7,7,42
"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE,7,7,7,7,7,7,42
UHC service coverage index,SH.UHC.SRVS.CV.XD,7,7,7,7,7,7,42
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,22,7,2,5,4,2,42
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,7,7,7,7,7,7,42
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,18,7,3,5,4,4,41
"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,18,7,3,5,4,4,41
"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,18,7,3,5,4,4,41
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,19,11,2,5,3,,40
"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,19,11,2,5,3,,40
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,11,7,6,5,5,6,40
"Trademark applications, resident, by count",IP.TMK.RSCT,17,5,3,4,5,6,40
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,11,7,6,5,5,6,40
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,11,7,6,5,5,6,40
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,17,11,2,8,2,,40
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ,7,7,6,6,6,7,39
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ,7,7,6,6,6,7,39
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,7,7,6,6,6,7,39
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,7,7,6,6,6,7,39
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,7,7,6,6,6,7,39
"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,1,14,14,,10,39
Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,7,7,6,6,6,7,39
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ,7,7,6,6,6,7,39
"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,1,8,5,8,8,8,38
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,1,8,5,8,8,8,38
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,1,8,5,8,8,8,38
"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,1,8,5,8,8,8,38
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,1,8,5,8,8,8,38
"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,1,8,5,8,8,8,38
"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,1,20,,10,,6,37
Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,23,4,2,2,3,3,37
"Trademark applications, nonresident, by count",IP.TMK.NRCT,17,5,3,4,5,3,37
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,23,4,2,2,4,2,37
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,23,4,2,2,4,2,37
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,23,4,2,2,4,2,37
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,17,11,2,5,2,,37
"Time to export, border compliance (hours)",IC.EXP.TMBC,6,6,6,6,6,6,36
"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,,16,6,1,9,4,36
"Time to export, documentary compliance (hours)",IC.EXP.TMDC,6,6,6,6,6,6,36
"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,6,6,6,6,6,6,36
"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,,16,6,1,9,4,36
"Time to import, border compliance (hours)",IC.IMP.TMBC,6,6,6,6,6,6,36
"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,21,4,,,,11,36
International migrant stock (% of population),SM.POP.TOTL.ZS,6,6,6,6,6,6,36
"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,6,6,6,6,6,6,36
"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,6,6,6,6,6,6,36
"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,6,6,6,6,6,6,36
"Time to import, documentary compliance (hours)",IC.IMP.TMDC,6,6,6,6,6,6,36
Wholesale price index (2010 = 100),FP.WPI.TOTL,,28,,8,,,36
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,11,4,5,5,5,5,35
Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,,8,5,7,6,9,35
Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,7,7,7,7,,7,35
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,1,9,4,7,6,8,35
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,11,4,5,5,5,5,35
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,11,4,5,5,5,5,35
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,2,8,2,8,6,9,35
"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,1,20,,7,,6,34
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,2,8,5,5,7,6,33
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,22,3,2,4,,2,33
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,19,2,3,3,5,1,33
"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,5,11,5,3,4,5,33
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,14,11,2,5,1,,33
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,18,2,3,3,5,1,32
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,10,7,,10,,5,32
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,18,2,3,3,5,1,32
Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,6,7,2,5,3,8,31
Gini index,SI.POV.GINI,6,7,2,5,3,8,31
Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,6,7,2,5,3,8,31
Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,6,7,2,5,3,8,31
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,2,7,2,7,5,8,31
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,19,2,7,2,,1,31
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,6,7,2,5,3,8,31
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,6,7,2,5,3,8,31
"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,13,11,2,5,,,31
Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,6,7,2,5,3,8,31
Proportion of people living below 50 percent of median income (%),SI.DST.50MD,6,7,2,5,3,8,31
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5,5,5,5,5,5,30
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,19,2,2,2,4,1,30
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5,5,5,5,5,5,30
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,2,7,3,6,7,5,30
Income share held by second 20%,SI.DST.02ND.20,6,7,2,5,2,8,30
Income share held by third 20%,SI.DST.03RD.20,6,7,2,5,2,8,30
"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,8,7,8,1,6,,30
Income share held by highest 20%,SI.DST.05TH.20,6,7,2,5,2,8,30
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,8,7,8,1,6,,30
PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,5,5,5,5,5,5,30
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,5,5,5,5,5,5,30
SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,5,5,5,5,5,5,30
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,2,7,3,6,7,5,30
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,9,3,1,6,3,8,30
Income share held by fourth 20%,SI.DST.04TH.20,6,7,2,5,2,8,30
Income share held by lowest 10%,SI.DST.FRST.10,6,7,2,5,2,8,30
HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,5,5,5,5,5,5,30
Income share held by highest 10%,SI.DST.10TH.10,6,7,2,5,2,8,30
Income share held by lowest 20%,SI.DST.FRST.20,6,7,2,5,2,8,30
Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,8,7,8,1,6,,30
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5,5,5,5,5,5,30
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,19,1,2,2,4,1,29
"Lead time to export, median case (days)",LP.EXP.DURS.MD,5,5,3,6,4,6,29
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,18,2,2,2,4,1,29
Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,,20,,6,,3,29
Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,3,6,2,6,6,6,29
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,18,2,2,2,4,1,29
Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,3,6,2,6,6,6,29
Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,,21,,5,,3,29
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,18,1,3,1,4,1,28
Wanted fertility rate (births per woman),SP.DYN.WFRT,2,6,2,6,6,6,28
Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,7,3,1,6,3,8,28
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,18,1,2,2,4,1,28
"Lead time to import, median case (days)",LP.IMP.DURS.MD,5,5,2,6,4,6,28
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,2,6,5,3,6,6,28
Completeness of birth registration (%),SP.REG.BRTH.ZS,4,5,4,3,7,5,28
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,18,1,2,2,4,1,28
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,19,3,1,2,1,1,27
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,17,1,3,1,4,1,27
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,17,1,3,1,4,1,27
"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,,18,,5,,3,26
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,1,7,5,3,4,6,26
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,18,,8,,,,26
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,18,,8,,,,26
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD,4,4,6,7,2,3,26
"International tourism, number of departures",ST.INT.DPRT,,,4,,22,,26
"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,,18,,5,,3,26
